,key_0,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,placeholder1,placeholder2,raw_data_calc_orb_sma,placeholder3,raw_data_tsurf_k,raw_data_tsurf_c,pl_tsurf_k,pl_tsurf_c,P_HABITABLE
0,11 umi b,11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,516.21997,3.2,-3.2,0.0,1.53,0.07,-0.07,0.0,12.3,,,0.0,1.09,,,0.0,4684.8142,794.575,-794.575,0.0,14.74,2.5,-2.5,0.0,Msini,0.08,0.03,-0.03,0.0,,,,,,,,,0,K4 III,4213.0,46.0,-46.0,0.0,29.79,2.84,-2.84,0.0,2.78,0.69,-0.69,0.0,-0.02,,,0.0,[Fe/H],1.93,0.07,-0.07,0.0,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.321,1.9765,-1.9765,5.013,0.005,-0.005,1.939,0.27,-0.27,4.56216,0.0039035,-0.0039035,,,1.770837145,,924.7536086,651.6036086,924.7535374735211,651.6035374735211,0
1,14 and b,14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,186.76,0.11,-0.12,0.0,0.775,0.0,0.0,0.0,13.1,,,0.0,1.16,,,0.0,1131.1513,36.23244,-38.77507,0.0,3.559,0.114,-0.122,0.0,Msini,0.0,,,0.0,,,,,,,,,0,K0 III,4888.0,,,0.0,11.55,1.12,-0.51,0.0,1.78,0.43,-0.29,0.0,-0.21,0.1,-0.1,0.0,[Fe/H],2.55,0.06,-0.07,0.0,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,75.4392,0.714,-0.714,5.23133,0.023,-0.023,2.331,0.24,-0.24,4.91781,0.0028262,-0.0028262,,,0.774942956,,938.677434,665.527434,938.6773618348484,665.5273618348484,0
2,14 her b,14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,1765.0389,1.67709,-1.87256,0.0,2.774,0.109,-0.12,0.0,12.6,,,0.0,1.12,,,0.0,2559.47216,518.69596,-280.64248,0.0,8.053,1.632,-0.883,0.0,Mass,0.373,0.008,-0.006,0.0,,,,,,,,,0,K0 V,5338.0,25.0,-25.0,0.0,0.93,0.01,-0.01,0.0,0.91,0.11,-0.11,0.0,0.405,0.047,-0.047,0.0,[Fe/H],4.45,0.02,-0.02,0.0,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323,0.0073,-0.0073,6.61935,0.023,-0.023,4.714,0.016,-0.016,6.383,0.0003512,-0.0003512,,,2.769855684,,153.7488424,-119.4011576,153.74883062952992,-119.40116937047006,0
3,17 sco b,17 Sco b,17 Sco,1,1,Radial Velocity,2020,Lick Observatory,0,578.38,2.01,-2.09,0.0,1.45,0.02,-0.02,0.0,12.9,,,0.0,1.15,,,0.0,1373.01872,47.67426,-38.13941,0.0,4.32,0.15,-0.12,0.0,Msini,0.06,0.03,-0.02,0.0,,,,,,,,,0,K3 III,4157.0,11.0,-10.0,0.0,25.92,0.78,-0.74,0.0,1.22,0.13,-0.14,0.0,-0.01,0.1,-0.1,0.0,[Fe/H],1.7,0.04,-0.06,0.0,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,124.953,2.59,-2.59,5.22606,0.023,-0.023,2.094,0.244,-0.244,4.75429,0.005055,-0.005055,,,1.451674602,,874.2961407,601.1461407,874.296073516121,601.1460735161211,0
4,1rxs j160929.1-210524 b,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,0,,,,,330.0,,,0.0,18.647,,,0.0,1.664,,,0.0,3000.0,300.0,-300.0,0.0,8.0,1.0,-1.0,0.0,Mass,,,,,,,,,1700.0,100.0,-100.0,0.0,0,K7 V,4060.0,300.0,-200.0,0.0,1.31,0.18,-0.1,0.0,0.85,0.2,-0.1,0.0,,,,,,4.0,0.14,-0.1,0.0,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.135,1.332,-1.307,12.618,0.069,-0.069,8.916,0.021,-0.021,12.0572,0.002275,-0.002275,,,0.0,,12.72476442,-260.4252356,12.724763443568708,-260.4252365564313,0
5,24 boo b,24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,0,30.33,0.0,-0.01,0.0,0.194,0.0,0.0,0.0,13.9,,,0.0,1.24,,,0.0,280.64248,11.44182,-13.66662,0.0,0.883,0.036,-0.043,0.0,Msini,0.032,0.039,-0.023,0.0,,,,,,,,,0,G3 IV,4816.0,,,0.0,12.19,1.45,-1.28,0.0,1.05,0.27,-0.18,0.0,-0.78,0.1,-0.1,0.0,[Fe/H],2.28,0.09,-0.07,0.0,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863,0.63685,-0.63685,5.59,0.001,-0.001,3.159,0.28,-0.28,5.3339,0.0019998,-0.0019998,,,0.193457334,,1899.032973,1625.882973,1899.032826925162,1625.8828269251621,0
6,24 sex b,24 Sex b,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,0,452.8,2.1,-4.5,0.0,1.333,0.004,-0.009,0.0,13.4,,,0.0,1.19,,,0.0,632.46,82.63,-120.77,0.0,1.99,0.26,-0.38,0.0,Msini,0.09,0.14,-0.06,0.0,,,,,,,,,0,K0 IV,5098.0,44.0,-44.0,0.0,4.9,0.08,-0.08,0.0,1.54,0.08,-0.08,0.0,-0.03,0.04,-0.04,0.0,[Fe/H],3.5,0.1,-0.1,0.0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,0.6854,-0.6728,6.4535,0.023,-0.023,4.285,0.016,-0.016,6.20374,0.0004976,-0.0004976,,,1.332656872,,486.214421,213.064421,486.21438366641814,213.06438366641817,0
7,24 sex c,24 Sex c,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,0,883.0,32.4,-13.8,0.0,2.08,0.05,-0.02,0.0,13.9,,,0.0,1.24,,,0.0,273.32,111.24,-69.92,0.0,0.86,0.35,-0.22,0.0,Msini,0.29,0.16,-0.09,0.0,,,,,,,,,0,K0 IV,5098.0,44.0,-44.0,0.0,4.9,0.08,-0.08,0.0,1.54,0.08,-0.08,0.0,-0.03,0.04,-0.04,0.0,[Fe/H],3.5,0.1,-0.1,0.0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,0.6854,-0.6728,6.4535,0.023,-0.023,4.285,0.016,-0.016,6.20374,0.0004976,-0.0004976,,,2.080117494,,389.2344245,116.0844245,389.2343946259989,116.08439462599893,0
8,2m0437 b,2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,Subaru Telescope,0,,,,,118.0,1.3,-1.3,0.0,13.0,,,0.0,1.16,,,0.0,1271.31363,317.82841,-317.82841,0.0,4.0,1.0,-1.0,0.0,Mass,,,,,,,,,1450.0,50.0,-50.0,0.0,0,M V,3100.0,100.0,-100.0,0.0,0.84,0.11,-0.11,0.0,0.17,0.01,-0.02,0.0,0.01,0.05,-0.05,0.0,[Fe/H],4.5,0.5,-0.5,0.0,04h37m21.73s,69.3405531,+26d51m01.08s,26.8502997,128.484,1.196,-1.174,16.186,1.133,-1.133,10.386,0.018,-0.018,14.3374,0.000772,-0.000772,,,0.0,,13.01084109,-260.1391589,13.010840089834373,-260.13915991016563,0
9,2mass j01225093-2439505 b,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,W. M. Keck Observatory,0,,,,,52.0,6.0,-6.0,0.0,11.209,,,0.0,1.0,,,0.0,7786.5,794.5,-794.5,0.0,24.5,2.5,-2.5,0.0,Mass,,,,,,,,,1600.0,100.0,-100.0,0.0,0,M3.5 V,3530.0,50.0,-50.0,0.0,0.37,0.01,-0.01,0.0,0.4,0.05,-0.05,0.0,,,,,,4.86,0.0,0.0,0.0,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.8281,0.0864,-0.086,14.244,0.074,-0.074,9.198,0.026,-0.026,12.9025,0.001151,-0.001151,,,0.0,,14.81217843,-258.3378216,14.812177290461593,-258.3378227095384,0
10,2mass j02192210-3925225 b,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,0,,,,,156.0,10.0,-10.0,0.0,16.141,0.336,-0.336,0.0,1.44,0.03,-0.03,0.0,4417.837,349.613,-349.613,0.0,13.9,1.1,-1.1,0.0,Mass,,,,,,,,,,,,,0,M6,3064.0,76.0,-76.0,0.0,0.28,0.01,-0.01,0.0,0.11,0.01,-0.01,0.0,,,,,,4.59,0.06,-0.06,0.0,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,40.0896412,0.1940496,-0.1940496,,,,10.404,0.025,-0.025,15.0123,0.000624,-0.000624,,,0.0,,6.457293354,-266.6927066,6.457292857937713,-266.69270714206226,0
11,2mass j04414489+2301513 b,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,Hubble Space Telescope,0,,,,,15.0,,,0.0,12.6,,,0.0,1.13,,,0.0,2383.6,794.5,-794.5,0.0,7.5,2.5,-2.5,0.0,Mass,,,,,,,,,,,,,0,M8.5,2936.0,182.0,-182.0,0.0,0.23,0.01,-0.01,0.0,0.02,,,0.0,,,,,,5.01,0.0,0.0,0.0,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,120.423987,5.4783417,-5.4783417,,,,13.161,0.025,-0.025,18.9668,0.006833,-0.006833,,,0.0,,18.08503606,-255.0649639,18.085034671603225,-255.06496532839674,0
12,2mass j12073346-3932539 b,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,Paranal Observatory,0,,,,,55.0,,,0.0,12.9,,,0.0,1.15,,,0.0,1589.15,635.66,-635.66,0.0,5.0,2.0,-2.0,0.0,Mass,,,,,,,,,1250.0,200.0,-200.0,0.0,0,M8,2825.0,157.0,-157.0,0.0,0.22,0.01,-0.01,0.0,0.02,,,0.0,,,,,,5.03,0.02,-0.02,0.0,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.308,0.6569,-0.644,20.15,0.19,,11.945,0.026,-0.026,17.4076,0.002154,-0.002154,,,0.0,,8.887783914,-264.2622161,8.887783230611406,-264.26221676938854,0
13,2mass j22362452+4751425 b,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,W. M. Keck Observatory,0,,,,,230.0,20.0,-20.0,0.0,12.3,,,0.0,1.1,,,0.0,3972.875,476.745,-476.745,0.0,12.5,1.5,-1.5,0.0,Mass,,,,,,,,,,,,,0,K7 V,4045.0,35.0,-35.0,0.0,0.64,0.06,-0.06,0.0,0.6,0.05,-0.05,0.0,,,,,,4.62,0.09,-0.13,0.0,22h36m24.62s,339.1025931,+47d51m42.06s,47.861683,69.5737,0.1592,-0.1585,12.368,0.057,-0.057,9.148,0.018,-0.018,11.9484,0.000737,-0.000737,,,0.0,,10.61425787,-262.5357421,10.614257049848925,-262.5357429501511,0
